lag_fs,acf_norm_mean,acf_norm_sem
5.450000000000000000e+01,5.397680600000000217e-02,4.630290380063220058e-03
5.500000000000000000e+01,1.137396779999999968e-01,4.323029791303084624e-03
5.550000000000000000e+01,1.578165559999999967e-01,3.687734623110238124e-03
5.600000000000000000e+01,1.821422319999999873e-01,2.871346714222089338e-03
5.650000000000000000e+01,1.850524759999999658e-01,2.192694644419510615e-03
5.700000000000000000e+01,1.673966179999999970e-01,2.164163438394616380e-03
5.750000000000000000e+01,1.323548519999999951e-01,2.806068554271973041e-03
5.800000000000000000e+01,8.499041999999999708e-02,3.598408275801956782e-03
5.850000000000000000e+01,3.159733800000000259e-02,4.196393685511883020e-03
5.900000000000000000e+01,-2.107384600000000024e-02,4.433656199368190588e-03
5.950000000000000000e+01,-6.661915200000000092e-02,4.237346519839273531e-03
6.000000000000000000e+01,-9.972003000000000117e-02,3.602522015510800906e-03
6.050000000000000000e+01,-1.167352140000000038e-01,2.583696870475713555e-03
6.100000000000000000e+01,-1.160811499999999941e-01,1.294533203834494044e-03
6.150000000000000000e+01,-9.836165199999999387e-02,4.031489595968239682e-04
6.200000000000000000e+01,-6.623641199999999452e-02,1.706020117417728467e-03
6.250000000000000000e+01,-2.404866599999999979e-02,2.986707720440016142e-03
6.300000000000000000e+01,2.273912600000000186e-02,3.978045981291065264e-03
6.350000000000000000e+01,6.822945599999999389e-02,4.570971575450452108e-03
6.400000000000000000e+01,1.068076360000000113e-01,4.711550963716299584e-03
6.450000000000000000e+01,1.338043519999999875e-01,4.407482004534333739e-03
6.500000000000000000e+01,1.460231399999999957e-01,3.740023556606296515e-03
6.550000000000000000e+01,1.420727179999999867e-01,2.896335778088236952e-03
6.600000000000000000e+01,1.224713320000000022e-01,2.263332884220523034e-03
6.650000000000000000e+01,8.952031000000000571e-02,2.361816371026756716e-03
6.700000000000000000e+01,4.697274599999999578e-02,3.070251729890564191e-03
6.750000000000000000e+01,-4.534179999999999743e-04,3.842355048252828805e-03
6.800000000000000000e+01,-4.765322999999999781e-02,4.354273511184156287e-03
6.850000000000000000e+01,-8.973200400000000410e-02,4.455744746984054670e-03
6.900000000000000000e+01,-1.225525280000000078e-01,4.095288050363975890e-03
6.950000000000000000e+01,-1.431718240000000031e-01,3.300977381142745481e-03
7.000000000000000000e+01,-1.501222439999999880e-01,2.190952581012652837e-03
7.050000000000000000e+01,-1.435108660000000147e-01,1.146679280394478960e-03
7.100000000000000000e+01,-1.249325619999999970e-01,1.498646198361707664e-03
7.150000000000000000e+01,-9.721406999999999965e-02,2.741841612243493386e-03
7.200000000000000000e+01,-6.402571399999998358e-02,3.893191656803709350e-03
7.250000000000000000e+01,-2.941242600000000193e-02,4.705246500755938185e-03
7.300000000000000000e+01,2.696144000000000145e-03,5.071476641029315675e-03
7.350000000000000000e+01,2.893659600000000193e-02,4.964322308714051030e-03
7.400000000000000000e+01,4.687155400000000277e-02,4.438105316468502794e-03
7.450000000000000000e+01,5.522028199999999554e-02,3.652291766747831677e-03
7.500000000000000000e+01,5.394008999999999610e-02,2.935199617194714054e-03
7.550000000000000000e+01,4.415794399999999759e-02,2.792988559662570348e-03
7.600000000000000000e+01,2.796896600000000135e-02,3.375456384463587905e-03
7.650000000000000000e+01,8.132954000000001266e-03,4.228860657042980871e-03
7.700000000000000000e+01,-1.229088599999999913e-02,4.939223443694970052e-03
7.750000000000000000e+01,-3.032622999999999916e-02,5.286233631974659661e-03
7.800000000000000000e+01,-4.343465800000000099e-02,5.171136432298416470e-03
7.850000000000000000e+01,-4.980397800000000569e-02,4.583000751474299722e-03
7.900000000000000000e+01,-4.853893599999999781e-02,3.591578450398375498e-03
7.950000000000000000e+01,-3.973525399999999763e-02,2.372135501773876831e-03
8.000000000000000000e+01,-2.443173400000000356e-02,1.430911830612215064e-03
8.050000000000000000e+01,-4.450027999999999970e-03,1.857596823730595873e-03
8.100000000000000000e+01,1.785469799999999871e-02,3.001916361305557827e-03
8.150000000000000000e+01,3.989807800000000348e-02,4.021965608829096255e-03
8.200000000000000000e+01,5.918573600000000268e-02,4.669225658730363597e-03
8.250000000000000000e+01,7.360684600000000355e-02,4.851339843762338296e-03
8.300000000000000000e+01,8.166707999999998913e-02,4.563211692903366805e-03
8.350000000000000000e+01,8.263540399999999564e-02,3.886283285480616068e-03
8.400000000000000000e+01,7.659206599999998644e-02,3.020854474377405747e-03
8.450000000000000000e+01,6.437779600000000102e-02,2.387802485115969164e-03
8.500000000000000000e+01,4.745645400000000208e-02,2.539863182040717413e-03
8.550000000000000000e+01,2.771242200000000391e-02,3.329861636752193873e-03
8.600000000000000000e+01,7.210590000000000228e-03,4.189772960188892399e-03
8.650000000000000000e+01,-1.205070199999999994e-02,4.788437997718462090e-03
8.700000000000000000e+01,-2.836386200000000010e-02,4.971846656071966970e-03
8.750000000000000000e+01,-4.048761600000000405e-02,4.686449203645122116e-03
8.800000000000000000e+01,-4.775515400000000105e-02,3.958527762453612278e-03
8.850000000000000000e+01,-5.010515999999999581e-02,2.899045335890765556e-03
8.900000000000000000e+01,-4.803638999999999826e-02,1.784539564871005356e-03
8.950000000000000000e+01,-4.249636599999999376e-02,1.475710137298649532e-03
9.000000000000000000e+01,-3.472271400000000174e-02,2.399661062847418223e-03
9.050000000000000000e+01,-2.606107000000000215e-02,3.513447132425647108e-03
9.100000000000000000e+01,-1.778471200000000113e-02,4.368893506779949164e-03
9.150000000000000000e+01,-1.093909399999999990e-02,4.808150195042371761e-03
9.200000000000000000e+01,-6.229125999999999760e-03,4.775306349893795356e-03
9.250000000000000000e+01,-3.959887999999999950e-03,4.296271880767556922e-03
9.300000000000000000e+01,-4.033555999999999774e-03,3.493620433179025001e-03
9.350000000000000000e+01,-5.998035999999999993e-03,2.654178701818323168e-03
9.400000000000000000e+01,-9.136757999999998298e-03,2.351656901683151901e-03
9.450000000000000000e+01,-1.258524200000000169e-02,2.939799370775836133e-03
9.500000000000000000e+01,-1.545808599999999935e-02,3.916074591455836855e-03
9.550000000000000000e+01,-1.697007799999999955e-02,4.791554720669900444e-03
9.600000000000000000e+01,-1.653689800000000126e-02,5.325834968067823597e-03
9.650000000000000000e+01,-1.384408800000000092e-02,5.406594084377335657e-03
9.700000000000000000e+01,-8.877211999999998909e-03,5.004557950673964653e-03
9.750000000000000000e+01,-1.911411999999999920e-03,4.162590551163301497e-03
9.800000000000000000e+01,6.536110000000000357e-03,3.000847629637333220e-03
9.850000000000000000e+01,1.578219000000000150e-02,1.790255765727344307e-03
9.900000000000000000e+01,2.507059799999999949e-02,1.397715378649744917e-03
9.950000000000000000e+01,3.366811399999999899e-02,2.312611407430136944e-03
1.000000000000000000e+02,4.095091399999999798e-02,3.398092722736682260e-03
1.005000000000000000e+02,4.647056800000000376e-02,4.194055260879855397e-03
1.010000000000000000e+02,4.999262399999999940e-02,4.549617631393433788e-03
1.015000000000000000e+02,5.150495600000000451e-02,4.415086565951567218e-03
1.020000000000000000e+02,5.119722999999999635e-02,3.819191221137009738e-03
1.025000000000000000e+02,4.941625599999999868e-02,2.881441364505964685e-03
1.030000000000000000e+02,4.660467400000000565e-02,1.906461037796471601e-03
