lag_fs,running_eta_mean,running_eta_sem
8.050000000000000000e+01,2.049478379999999933e-01,1.468168614340330073e-03
8.100000000000000000e+01,2.050861799999999791e-01,1.514872801577742340e-03
8.150000000000000000e+01,2.057114159999999803e-01,1.577352795250959450e-03
8.200000000000000000e+01,2.067957199999999884e-01,1.650521142539530806e-03
8.250000000000000000e+01,2.082603919999999886e-01,1.727212429087400915e-03
8.300000000000000000e+01,2.099861380000000166e-01,1.799330965657510578e-03
8.350000000000000000e+01,2.118276579999999742e-01,1.859313432322262649e-03
8.400000000000000000e+01,2.136305599999999971e-01,1.901411876935139942e-03
8.450000000000000000e+01,2.152484320000000173e-01,1.922558575418185749e-03
8.500000000000000000e+01,2.165581659999999964e-01,1.922703466683302895e-03
8.550000000000000000e+01,2.174717719999999799e-01,1.904635110677106811e-03
8.600000000000000000e+01,2.179435520000000126e-01,1.873336288148499387e-03
8.650000000000000000e+01,2.179720800000000125e-01,1.834991250818376711e-03
8.700000000000000000e+01,2.175970599999999811e-01,1.795871321498283173e-03
8.750000000000000000e+01,2.168917560000000189e-01,1.761365621174658565e-03
8.800000000000000000e+01,2.159522300000000228e-01,1.735424747538771070e-03
8.850000000000000000e+01,2.148848160000000063e-01,1.720548638337780550e-03
8.900000000000000000e+01,2.137935500000000266e-01,1.718129789105005177e-03
8.950000000000000000e+01,2.127689800000000242e-01,1.728822345563593883e-03
9.000000000000000000e+01,2.118797339999999862e-01,1.752578878417742703e-03
9.050000000000000000e+01,2.111675120000000017e-01,1.788331860006414599e-03
9.100000000000000000e+01,2.106459119999999907e-01,1.833549135254903704e-03
9.150000000000000000e+01,2.103028239999999993e-01,1.884121615635782473e-03
9.200000000000000000e+01,2.101057719999999962e-01,1.934730793491434625e-03
9.250000000000000000e+01,2.100092559999999775e-01,1.979714334164401918e-03
9.300000000000000000e+01,2.099629900000000160e-01,2.014132529490052139e-03
9.350000000000000000e+01,2.099199120000000141e-01,2.034715728499683195e-03
9.400000000000000000e+01,2.098430219999999902e-01,2.040500953534204499e-03
9.450000000000000000e+01,2.097102319999999964e-01,2.033004760027386660e-03
9.500000000000000000e+01,2.095168300000000150e-01,2.015888644786709236e-03
9.550000000000000000e+01,2.092754060000000249e-01,1.994191189616984199e-03
9.600000000000000000e+01,2.090134359999999969e-01,1.973226972815342838e-03
9.650000000000000000e+01,2.087690480000000126e-01,1.957441455925055390e-03
9.700000000000000000e+01,2.085856119999999758e-01,1.949565380479452090e-03
9.750000000000000000e+01,2.085059939999999723e-01,1.950354462862069916e-03
9.800000000000000000e+01,2.085672360000000169e-01,1.958985032126585139e-03
9.850000000000000000e+01,2.087963460000000215e-01,1.973855527683319403e-03
9.900000000000000000e+01,2.092075999999999658e-01,1.993366508254316560e-03
