lag_ps,msd_mean,msd_sem
2.049999999999999878e-01,5.898993660000000361e-01,3.998746067433642075e-03
2.099999999999999922e-01,6.060054559999999979e-01,4.157010688956193356e-03
2.149999999999999967e-01,6.220081520000000364e-01,4.318213699685796714e-03
2.200000000000000011e-01,6.378924240000000134e-01,4.482179077939205634e-03
2.250000000000000056e-01,6.536594900000001207e-01,4.648760703752130401e-03
2.300000000000000100e-01,6.693094000000000543e-01,4.817941261564939910e-03
2.349999999999999867e-01,6.848286559999999801e-01,4.989596967280609564e-03
2.399999999999999911e-01,7.002078300000000866e-01,5.163544584695667697e-03
2.449999999999999956e-01,7.154511100000000567e-01,5.339678888368665569e-03
2.500000000000000000e-01,7.305616460000000645e-01,5.518027081662961984e-03
2.550000000000000044e-01,7.455315800000000825e-01,5.698579451623888084e-03
2.600000000000000089e-01,7.603538780000000941e-01,5.881259355814352600e-03
2.650000000000000133e-01,7.750325160000000047e-01,6.066080409106520965e-03
2.700000000000000178e-01,7.895710280000000081e-01,6.253146989146651964e-03
2.750000000000000222e-01,8.039636460000000318e-01,6.442532360876899490e-03
2.800000000000000266e-01,8.182043559999998550e-01,6.634217424599981455e-03
2.849999999999999756e-01,8.322954780000000330e-01,6.828231296313420559e-03
2.899999999999999800e-01,8.462403699999999640e-01,7.024646071232333241e-03
2.949999999999999845e-01,8.600348480000000739e-01,7.223495259397204153e-03
2.999999999999999889e-01,8.736744499999999913e-01,7.424717734864404520e-03
3.049999999999999933e-01,8.871613120000001462e-01,7.628252033451288910e-03
3.099999999999999978e-01,9.004994179999998849e-01,7.834103198331250975e-03
3.150000000000000022e-01,9.136873400000000700e-01,8.042228714565384518e-03
3.200000000000000067e-01,9.267229860000000263e-01,8.252517807917539305e-03
3.250000000000000111e-01,9.396097680000000674e-01,8.464853240666021447e-03
3.300000000000000155e-01,9.523529480000000325e-01,8.679175235629487187e-03
3.350000000000000200e-01,9.649540859999999887e-01,8.895396731128171752e-03
3.400000000000000244e-01,9.774136500000001337e-01,9.113377023024994000e-03
3.449999999999999734e-01,9.897363200000001138e-01,9.332974119544128894e-03
3.499999999999999778e-01,1.001928350000000023e+00,9.554102941617830663e-03
3.549999999999999822e-01,1.013993104000000089e+00,9.776680148761414044e-03
3.599999999999999867e-01,1.025932689999999869e+00,1.000057859710476796e-02
3.649999999999999911e-01,1.037751931999999933e+00,1.022566705969952389e-02
3.699999999999999956e-01,1.049456928000000122e+00,1.045188374563666388e-02
3.750000000000000000e-01,1.061051407999999974e+00,1.067915292897165212e-02
3.800000000000000044e-01,1.072537800000000097e+00,1.090738627063331766e-02
3.850000000000000089e-01,1.083920224000000099e+00,1.113647608035394851e-02
3.900000000000000133e-01,1.095203731999999874e+00,1.136639199517393631e-02
3.950000000000000178e-01,1.106391663999999997e+00,1.159707671045622120e-02
4.000000000000000222e-01,1.117486092000000042e+00,1.182845931862697673e-02
4.050000000000000266e-01,1.128490282000000011e+00,1.206045234323629631e-02
4.099999999999999756e-01,1.139408157999999949e+00,1.229301555305668467e-02
4.149999999999999800e-01,1.150242615999999884e+00,1.252609317459823027e-02
4.199999999999999845e-01,1.160995573999999975e+00,1.275961001936248146e-02
4.249999999999999889e-01,1.171669811999999977e+00,1.299346431900067628e-02
4.299999999999999933e-01,1.182268716000000053e+00,1.322760407295350653e-02
4.349999999999999978e-01,1.192795021999999872e+00,1.346196173702868260e-02
