lag_ps,msd_seg1_A2,msd_seg2_A2,msd_seg3_A2,msd_seg4_A2,msd_seg5_A2
1.209999999999999964e+01,6.189309593138376364e+00,5.995993803036923531e+00,5.801112670452159392e+00,7.081548713145544127e+00,6.873571445702145510e+00
1.220000000000000107e+01,6.232293418824578879e+00,6.038959130153589427e+00,5.841486525024922827e+00,7.131307499288218388e+00,6.924454445953343473e+00
1.230000000000000071e+01,6.274710640601555589e+00,6.081148582024046512e+00,5.882898841811065260e+00,7.180774057043934455e+00,6.975126066208817477e+00
1.240000000000000036e+01,6.317457429532807645e+00,6.122522581981675316e+00,5.925288174476266434e+00,7.230705074374522034e+00,7.025600747206143915e+00
1.250000000000000000e+01,6.361066659456411365e+00,6.164183299697667096e+00,5.967368289327963815e+00,7.281817985934587512e+00,7.075724955018348084e+00
1.259999999999999964e+01,6.405188909206795067e+00,6.206064119891740560e+00,6.008929905148470141e+00,7.333985156604956757e+00,7.126396684606387311e+00
1.270000000000000107e+01,6.448914195466770138e+00,6.248400334638054332e+00,6.049951993182046017e+00,7.386582756074580480e+00,7.178115414857320076e+00
1.280000000000000071e+01,6.492002188054484257e+00,6.291714717531079692e+00,6.090609568132054008e+00,7.438534378110258416e+00,7.230502514314391505e+00
1.290000000000000036e+01,6.534792718251706489e+00,6.335530358069204837e+00,6.131268135166916267e+00,7.489496337175996388e+00,7.283481447292425415e+00
1.300000000000000000e+01,6.577099376791318619e+00,6.379106199391944898e+00,6.172318406349609710e+00,7.539559980728658850e+00,7.336202966077938648e+00
1.309999999999999964e+01,6.620365345253903300e+00,6.421860447134946526e+00,6.213603958542233130e+00,7.588842659620980591e+00,7.388665075152049511e+00
1.320000000000000107e+01,6.664197911237047300e+00,6.463616297295261326e+00,6.254444265614869991e+00,7.638049897875565541e+00,7.441045633594077557e+00
1.330000000000000071e+01,6.708343685889550656e+00,6.505461624412489208e+00,6.295372746818691745e+00,7.687043276486278387e+00,7.493764174905007458e+00
1.340000000000000036e+01,6.752168842013367644e+00,6.546959491161019606e+00,6.336866233256838399e+00,7.736132145892664624e+00,7.546449071871411896e+00
1.350000000000000000e+01,6.795018186771996760e+00,6.587858147889273930e+00,6.378145331883826152e+00,7.785229592383380748e+00,7.598888637731946893e+00
1.359999999999999964e+01,6.837061198911719373e+00,6.628383497039233241e+00,6.418818732128944049e+00,7.833976100975480250e+00,7.651078908901936870e+00
1.370000000000000107e+01,6.879117225147356685e+00,6.669156093693005438e+00,6.459748174327828885e+00,7.882300081768765843e+00,7.703512151209285896e+00
1.380000000000000071e+01,6.921671187564985672e+00,6.710436919156236968e+00,6.501207277916012828e+00,7.931007577111820694e+00,7.755886212190413964e+00
1.390000000000000036e+01,6.964549324863632762e+00,6.752598223023972501e+00,6.543268491633654982e+00,7.980077945185588106e+00,7.807311232920533861e+00
1.400000000000000000e+01,7.007915653604214867e+00,6.795074650133741123e+00,6.585616166006208694e+00,8.029444049372493453e+00,7.858307496434056461e+00
1.409999999999999964e+01,7.052091540620620158e+00,6.837608545289445061e+00,6.627604106098408998e+00,8.079008440473296915e+00,7.909208537584264676e+00
1.420000000000000107e+01,7.096151253991714647e+00,6.880300153189872425e+00,6.669380708615762821e+00,8.128403859180743041e+00,7.960410013512946747e+00
1.430000000000000071e+01,7.139626405220330874e+00,6.922993947190672515e+00,6.711079360449402564e+00,8.178185159840309026e+00,8.012146226675200822e+00
1.440000000000000036e+01,7.182756148681687769e+00,6.965355899803687301e+00,6.752409816251585539e+00,8.227454817816168386e+00,8.063411544776894146e+00
1.450000000000000000e+01,7.226314189396682686e+00,7.007980630158332502e+00,6.793844579544113138e+00,8.276493866870925586e+00,8.113748319531559616e+00
1.459999999999999964e+01,7.270428501811190714e+00,7.051292761085510286e+00,6.835369402354492863e+00,8.325532351756629978e+00,8.163330073387232488e+00
1.470000000000000107e+01,7.314546345012169049e+00,7.094264944799459016e+00,6.876579188030357948e+00,8.374407224110058223e+00,8.213897385175252808e+00
1.480000000000000071e+01,7.358797452740867939e+00,7.136780395586031389e+00,6.917002165798279201e+00,8.422759128469058609e+00,8.265369602965400020e+00
1.490000000000000036e+01,7.402842011777400977e+00,7.178892889095859431e+00,6.957241114252638248e+00,8.470867260479030492e+00,8.317365540611705299e+00
1.500000000000000000e+01,7.446613416332382940e+00,7.220677257465589527e+00,6.998496650698761812e+00,8.519395761245519338e+00,8.369323688916622928e+00
