lag_ps,msd_Na_seg1_A2,msd_Cl_seg1_A2,msd_Na_seg2_A2,msd_Cl_seg2_A2,msd_Na_seg3_A2,msd_Cl_seg3_A2,msd_Na_seg4_A2,msd_Cl_seg4_A2,msd_Na_seg5_A2,msd_Cl_seg5_A2
4.899999999999999911e-01,5.100599610333347300e-01,6.693800798651321493e-01,5.074571497406989984e-01,6.733533392370090187e-01,4.978791263222983043e-01,6.544057367239398681e-01,5.300299759538739108e-01,6.725752720492058634e-01,5.060915433431760757e-01,6.985501833255765014e-01
5.000000000000000000e-01,5.153509526187841638e-01,6.741110736523978630e-01,5.126998794879367161e-01,6.785923505715092396e-01,5.028209931665167387e-01,6.590437437927411102e-01,5.354882679908681276e-01,6.777974565523928741e-01,5.112810725776424370e-01,7.039894198298952688e-01
5.100000000000000089e-01,5.204666386691011448e-01,6.786992109197740319e-01,5.178130481184806122e-01,6.836987067667652518e-01,5.076072370088000607e-01,6.635604118152905739e-01,5.408265641179070826e-01,6.828621230786338092e-01,5.163651716757853283e-01,7.092489249371283222e-01
5.200000000000000178e-01,5.253997699518007103e-01,6.831631818298420367e-01,5.228037283929912737e-01,6.886895360336716676e-01,5.122386100865443659e-01,6.679786415619699547e-01,5.460456931386185042e-01,6.877873465826319643e-01,5.213321506749366563e-01,7.143488154330207562e-01
5.300000000000000266e-01,5.301492012719803970e-01,6.875169451666351961e-01,5.276804520717663927e-01,6.935785836375443214e-01,5.167174513243600886e-01,6.723159678479836421e-01,5.511476469103165909e-01,6.925897201019084459e-01,5.261691111301792789e-01,7.193082120426512738e-01
5.400000000000000355e-01,5.347208797991874762e-01,6.917712764713933593e-01,5.324491710987552251e-01,6.983769758761897428e-01,5.210465897911578104e-01,6.765852308453254027e-01,5.561355313385168975e-01,6.972839805833864757e-01,5.308629552875522295e-01,7.241456321772198335e-01
5.500000000000000444e-01,5.391265351964117380e-01,6.959354385218274874e-01,5.371114315336834588e-01,7.030944611316272130e-01,5.252296350557768001e-01,6.807951182242896193e-01,5.610141061055521350e-01,7.018835867597457145e-01,5.354021997319162729e-01,7.288791619850043535e-01
5.600000000000000533e-01,5.433813419733660721e-01,7.000177001611720407e-01,5.416645797295100984e-01,7.077398649921443630e-01,5.292726981082580551e-01,6.849505773187287705e-01,5.657899118217749601e-01,7.064012675536383012e-01,5.397793678578877152e-01,7.335263140297519913e-01
5.700000000000000622e-01,5.475021223097719103e-01,7.040264836405248916e-01,5.461031161247326127e-01,7.123213198817350822e-01,5.331856882512195916e-01,6.890530842104188869e-01,5.704709455855329070e-01,7.108491698905052836e-01,5.439922709249837007e-01,7.381036207929696502e-01
5.799999999999999600e-01,5.515056048766255881e-01,7.079705302760999075e-01,5.504209215801930677e-01,7.168463606769187590e-01,5.369824912372772596e-01,6.931015102637287928e-01,5.750657917355744830e-01,7.152387552928050063e-01,5.480435773475720307e-01,7.426264473026044088e-01
