r_A,g_NaCl,w_kcalmol
2.174999999999999822e+00,0.000000000000000000e+00,nan
2.225000000000000089e+00,0.000000000000000000e+00,nan
2.275000000000000355e+00,0.000000000000000000e+00,nan
2.325000000000000178e+00,3.172716174071869453e-04,nan
2.375000000000000000e+00,2.432431357211287115e-03,nan
2.425000000000000266e+00,2.099846262047193671e-02,2.264319728566573264e+00
2.475000000000000089e+00,1.020997703006277235e-01,1.327304115428337816e+00
2.525000000000000355e+00,3.319495454106103915e-01,6.287451536228370053e-01
2.575000000000000178e+00,7.691624021405178979e-01,1.308687454390554672e-01
2.625000000000000000e+00,1.493971244610071247e+00,-2.624766399701829456e-01
2.675000000000000266e+00,2.314599681418067600e+00,-5.218658841516994329e-01
2.725000000000000089e+00,2.962528148430547681e+00,-6.680948665518167129e-01
2.775000000000000355e+00,3.352060802391537031e+00,-7.412858973187719247e-01
2.825000000000000178e+00,3.343055353228075344e+00,-7.396920203007850692e-01
2.875000000000000000e+00,3.171281452135716883e+00,-7.084387880232720924e-01
2.925000000000000266e+00,2.753008293995694356e+00,-6.246368282325933663e-01
2.975000000000000089e+00,2.331758821001324922e+00,-5.262420326366825662e-01
3.025000000000000355e+00,1.909198624066341221e+00,-4.077810419674374742e-01
3.075000000000000178e+00,1.521492253901481684e+00,-2.732917171659839939e-01
3.125000000000000000e+00,1.186283495795657172e+00,-1.258421964380145031e-01
3.175000000000000266e+00,9.254290194880546716e-01,2.128552168304819608e-02
3.225000000000000089e+00,7.614621431326084044e-01,1.368301364416672494e-01
3.275000000000000355e+00,6.328518343748352759e-01,2.464422913719543640e-01
3.325000000000000178e+00,4.899596946205126979e-01,3.980669951355008118e-01
3.375000000000000000e+00,4.055853214454855915e-01,5.100418247617868328e-01
3.425000000000000266e+00,3.681952859254987720e-01,5.673456588062735229e-01
3.475000000000000089e+00,3.338626321144903542e-01,6.253403552528702392e-01
3.525000000000000355e+00,3.127262704373149349e-01,6.640896705196560612e-01
3.575000000000000178e+00,3.153570651354880017e-01,6.591262678392310059e-01
3.625000000000000000e+00,3.276006002360467573e-01,6.365587269154761030e-01
3.675000000000000266e+00,3.579872541863067248e-01,5.840040133535243649e-01
3.725000000000000089e+00,3.718439806145136806e-01,5.615032281901259914e-01
3.775000000000000355e+00,4.286941218825139899e-01,4.772108142818179966e-01
3.825000000000000178e+00,4.931707644689090064e-01,3.941966701883583557e-01
3.875000000000000000e+00,5.986682354341009704e-01,2.793422345538789653e-01
3.925000000000000266e+00,7.165882758108476080e-01,1.728170850283121673e-01
3.975000000000000089e+00,8.777392557575948162e-01,5.263263026618003604e-02
4.025000000000000355e+00,1.072175598987789691e+00,-6.592096744131412112e-02
4.075000000000000178e+00,1.281686028711093162e+00,-1.716715635791824512e-01
4.125000000000000000e+00,1.534240165328806915e+00,-2.782352055604031538e-01
4.175000000000000711e+00,1.841375452474141028e+00,-3.863504100424889343e-01
4.224999999999999645e+00,2.131898800489052448e+00,-4.731495770289513292e-01
4.275000000000000355e+00,2.470532460960018106e+00,-5.604940926242685251e-01
4.325000000000000178e+00,2.779213140109813907e+00,-6.302497965484180620e-01
4.375000000000000000e+00,3.106730464456056051e+00,-6.962544105438244202e-01
4.425000000000000711e+00,3.402672797907490665e+00,-7.501648276200370002e-01
4.474999999999999645e+00,3.631815338263510551e+00,-7.887778843439805510e-01
4.525000000000000355e+00,3.892662641654565547e+00,-8.298731056750230373e-01
4.575000000000000178e+00,3.994543243357042694e+00,-8.451804469129113873e-01
4.625000000000000000e+00,4.075256519702612046e+00,-8.570327837265433457e-01
4.675000000000000711e+00,4.104537002929073530e+00,-8.612745334229370275e-01
4.724999999999999645e+00,4.126857807193271555e+00,-8.644877851879064767e-01
4.775000000000000355e+00,4.110339449800958889e+00,-8.621115180714986614e-01
4.825000000000001066e+00,4.029964350178810051e+00,-8.504110749804313363e-01
4.875000000000000000e+00,3.974617433650629472e+00,-8.422175838209239318e-01
4.925000000000000711e+00,3.916409819758067012e+00,-8.334765779033631583e-01
