lag_fs,acf_norm_mean,acf_norm_sem
4.600000000000000000e+01,2.271519000000000177e-01,2.306727674505597379e-03
4.650000000000000000e+01,2.532950740000000645e-01,1.416438464447363496e-03
4.700000000000000000e+01,2.521611940000000329e-01,2.022361632546459519e-03
4.750000000000000000e+01,2.239359040000000189e-01,3.207011765037040725e-03
4.800000000000000000e+01,1.718773539999999822e-01,4.188774067588985767e-03
4.850000000000000000e+01,1.018758040000000004e-01,4.736635383673310461e-03
4.900000000000000000e+01,2.172495600000000013e-02,4.759828722974809162e-03
4.950000000000000000e+01,-5.980110199999999487e-02,4.250474151002920850e-03
5.000000000000000000e+01,-1.339532559999999928e-01,3.278212066984990004e-03
5.050000000000000000e+01,-1.929792800000000030e-01,2.017606067541430695e-03
5.100000000000000000e+01,-2.309561239999999849e-01,1.099718488562412711e-03
5.150000000000000000e+01,-2.443965760000000320e-01,1.928727595638119862e-03
5.200000000000000000e+01,-2.325714899999999918e-01,3.292888979657525566e-03
5.250000000000000000e+01,-1.975203239999999971e-01,4.450285167187156485e-03
5.300000000000000000e+01,-1.437556360000000200e-01,5.194724943117392732e-03
5.350000000000000000e+01,-7.769930599999999576e-02,5.425956661930317858e-03
5.400000000000000000e+01,-6.916832000000000362e-03,5.113025313628321439e-03
5.450000000000000000e+01,6.076159599999999411e-02,4.290299872215927977e-03
5.500000000000000000e+01,1.181316319999999864e-01,3.057443526219900953e-03
5.550000000000000000e+01,1.594137379999999993e-01,1.610335467920890684e-03
5.600000000000000000e+01,1.808687939999999994e-01,8.816489669114314139e-04
5.650000000000000000e+01,1.811613879999999788e-01,2.110536507240281558e-03
5.700000000000000000e+01,1.614338219999999768e-01,3.446626528414995731e-03
5.750000000000000000e+01,1.250896639999999893e-01,4.445476258869907570e-03
5.800000000000000000e+01,7.732114999999999128e-02,4.968516329353260021e-03
5.850000000000000000e+01,2.444373600000000063e-02,4.957879018881562218e-03
5.900000000000000000e+01,-2.687826800000000030e-02,4.428262953263276992e-03
5.950000000000000000e+01,-7.042219799999999141e-02,3.475003843607084308e-03
6.000000000000000000e+01,-1.011222940000000153e-01,2.319558619868441942e-03
6.050000000000000000e+01,-1.156300420000000023e-01,1.583217463961915372e-03
6.100000000000000000e+01,-1.126591819999999966e-01,2.169188937145401924e-03
6.150000000000000000e+01,-9.308032999999998891e-02,3.311764569040196501e-03
6.200000000000000000e+01,-5.975909799999999661e-02,4.301237769754655271e-03
6.250000000000000000e+01,-1.716131199999999801e-02,4.896455522169480476e-03
6.300000000000000000e+01,2.922335599999999894e-02,4.998736167926448939e-03
6.350000000000000000e+01,7.356621799999998879e-02,4.592642331722992036e-03
