lag_fs,running_eta_mean,running_eta_sem
1.035000000000000000e+02,2.184129539999999925e-01,2.358637686728504591e-03
1.040000000000000000e+02,2.193693539999999886e-01,2.404385832718201887e-03
1.045000000000000000e+02,2.202463080000000295e-01,2.462181568102566210e-03
1.050000000000000000e+02,2.210499579999999908e-01,2.526484504669285810e-03
1.055000000000000000e+02,2.217889859999999658e-01,2.590624197907911118e-03
1.060000000000000000e+02,2.224713859999999932e-01,2.647919143847864924e-03
1.065000000000000000e+02,2.231017359999999949e-01,2.692776792800695342e-03
1.070000000000000000e+02,2.236794559999999987e-01,2.721520644254973864e-03
1.075000000000000000e+02,2.241982560000000402e-01,2.732831498317447004e-03
1.080000000000000000e+02,2.246469339999999926e-01,2.727797040997733107e-03
1.085000000000000000e+02,2.250113380000000052e-01,2.709622029716320622e-03
1.090000000000000000e+02,2.252771679999999999e-01,2.683093559631120201e-03
1.095000000000000000e+02,2.254331800000000108e-01,2.653943838590029636e-03
1.100000000000000000e+02,2.254742040000000114e-01,2.628204083648374555e-03
1.105000000000000000e+02,2.254035420000000123e-01,2.611653512580487842e-03
1.110000000000000000e+02,2.252342979999999995e-01,2.609322646292329406e-03
1.115000000000000000e+02,2.249894000000000338e-01,2.625046678251646056e-03
1.120000000000000000e+02,2.247002939999999671e-01,2.660992596499660474e-03
1.125000000000000000e+02,2.244043920000000081e-01,2.717236726710431025e-03
1.130000000000000000e+02,2.241416100000000466e-01,2.791517196015458509e-03
1.135000000000000000e+02,2.239504240000000090e-01,2.879346556346771679e-03
1.140000000000000000e+02,2.238639360000000134e-01,2.974500722616489363e-03
1.145000000000000000e+02,2.239065120000000297e-01,3.069859802130057557e-03
1.150000000000000000e+02,2.240914419999999740e-01,3.158349517902348143e-03
1.155000000000000000e+02,2.244199420000000111e-01,3.233835230362548056e-03
1.160000000000000000e+02,2.248817220000000339e-01,3.291805598294648277e-03
1.165000000000000000e+02,2.254570080000000143e-01,3.329792171108281011e-03
1.170000000000000000e+02,2.261197800000000202e-01,3.347491765600029302e-03
