lag_ps,msd_mean,msd_sem
2.449999999999999956e-01,6.683121539999999916e-01,3.192602210305264809e-02
2.500000000000000000e-01,6.816433380000000986e-01,3.294515102242413090e-02
2.550000000000000044e-01,6.948096999999998635e-01,3.397618003987221136e-02
2.600000000000000089e-01,7.078057320000000763e-01,3.501805304765920335e-02
2.650000000000000133e-01,7.206366060000000129e-01,3.607036008770894697e-02
2.700000000000000178e-01,7.333067100000000282e-01,3.713321059504928051e-02
2.750000000000000222e-01,7.458114840000000800e-01,3.820648644086113016e-02
2.800000000000000266e-01,7.581467039999999491e-01,3.928948560429043613e-02
2.849999999999999756e-01,7.703162639999999728e-01,4.038204494963667374e-02
2.899999999999999800e-01,7.823245859999999885e-01,4.148450743117465533e-02
2.949999999999999845e-01,7.941688559999999786e-01,4.259698799702316130e-02
2.999999999999999889e-01,8.058464379999999982e-01,4.371900021380104029e-02
3.049999999999999933e-01,8.173610900000000123e-01,4.485045128006372173e-02
3.099999999999999978e-01,8.287177700000001312e-01,4.599166385312472571e-02
3.150000000000000022e-01,8.399161620000000772e-01,4.714271928740494666e-02
3.200000000000000067e-01,8.509557099999998098e-01,4.830307158187292782e-02
3.250000000000000111e-01,8.618410400000000582e-01,4.947246540212231480e-02
3.300000000000000155e-01,8.725779499999999356e-01,5.065098771068377720e-02
3.350000000000000200e-01,8.831684440000000524e-01,5.183850738350417181e-02
3.400000000000000244e-01,8.936138639999999800e-01,5.303434988857370219e-02
3.449999999999999734e-01,9.039193040000000900e-01,5.423808262705244465e-02
3.499999999999999778e-01,9.140908580000001171e-01,5.544963429195574889e-02
3.549999999999999822e-01,9.241314920000001099e-01,5.666873270541343544e-02
3.599999999999999867e-01,9.340433660000000415e-01,5.789466533455302211e-02
3.649999999999999911e-01,9.438309919999998687e-01,5.912690730822679069e-02
3.699999999999999956e-01,9.534997320000000443e-01,6.036525732969350022e-02
3.750000000000000000e-01,9.630523799999999301e-01,6.160940484924560395e-02
3.800000000000000044e-01,9.724908859999998878e-01,6.285863383285222872e-02
3.850000000000000089e-01,9.818187699999999518e-01,6.411239471554286418e-02
3.900000000000000133e-01,9.910401060000000317e-01,6.537038499125147339e-02
3.950000000000000178e-01,1.000157199999999857e+00,6.663227235564181394e-02
4.000000000000000222e-01,1.009171612000000051e+00,6.789741635176212153e-02
4.050000000000000266e-01,1.018086218000000098e+00,6.916532096619010250e-02
4.099999999999999756e-01,1.026904236000000026e+00,7.043578760238941583e-02
4.149999999999999800e-01,1.035627929999999974e+00,7.170860738058416894e-02
4.199999999999999845e-01,1.044258965999999900e+00,7.298338284156727362e-02
4.249999999999999889e-01,1.052800051999999820e+00,7.425977496762979635e-02
4.299999999999999933e-01,1.061254257999999950e+00,7.553769374833792238e-02
4.349999999999999978e-01,1.069623957999999986e+00,7.681699443165301844e-02
4.400000000000000022e-01,1.077911370000000035e+00,7.809737404867446442e-02
4.450000000000000067e-01,1.086119392000000072e+00,7.937860887934794496e-02
4.500000000000000111e-01,1.094251342000000182e+00,8.066053460105258865e-02
4.550000000000000155e-01,1.102309980000000023e+00,8.194302024280554486e-02
4.600000000000000200e-01,1.110298287999999856e+00,8.322568799106902504e-02
4.650000000000000244e-01,1.118219515999999913e+00,8.450829625711475668e-02
4.699999999999999734e-01,1.126077165999999963e+00,8.579051612892869827e-02
4.749999999999999778e-01,1.133874154000000134e+00,8.707217385633155005e-02
4.799999999999999822e-01,1.141613661999999918e+00,8.835288504830342282e-02
4.849999999999999867e-01,1.149298973999999918e+00,8.963243844207691158e-02
4.899999999999999911e-01,1.156933382000000066e+00,9.091053476758920171e-02
4.949999999999999956e-01,1.164519711999999929e+00,9.218699213521869273e-02
5.000000000000000000e-01,1.172060930000000001e+00,9.346150193741696588e-02
5.050000000000000044e-01,1.179560107999999996e+00,9.473389864992226572e-02
5.100000000000000089e-01,1.187019983999999972e+00,9.600399802525769188e-02
5.150000000000000133e-01,1.194442795999999918e+00,9.727170244667851517e-02
5.200000000000000178e-01,1.201830887999999931e+00,9.853690146337157341e-02
5.250000000000000222e-01,1.209186585999999952e+00,9.979964142394140425e-02
5.300000000000000266e-01,1.216511992000000042e+00,1.010599384349041285e-01
5.350000000000000311e-01,1.223808677999999928e+00,1.023178909644287954e-01
5.400000000000000355e-01,1.231078522000000008e+00,1.035735336922884164e-01
5.450000000000000400e-01,1.238323311999999898e+00,1.048271107098377730e-01
5.500000000000000444e-01,1.245544715999999941e+00,1.060787541180336774e-01
5.550000000000000488e-01,1.252743917999999734e+00,1.073286416772446100e-01
5.600000000000000533e-01,1.259922232000000086e+00,1.085768626904705519e-01
5.649999999999999467e-01,1.267081159999999818e+00,1.098236348279338082e-01
5.699999999999999512e-01,1.274221856000000042e+00,1.110690110675379566e-01
5.749999999999999556e-01,1.281345301999999853e+00,1.123130281251292911e-01
5.799999999999999600e-01,1.288452400000000164e+00,1.135556334668169076e-01
5.849999999999999645e-01,1.295544436000000132e+00,1.147969137192814543e-01
5.899999999999999689e-01,1.302622225999999994e+00,1.160368524050195416e-01
5.949999999999999734e-01,1.309686515999999745e+00,1.172753435568862496e-01
5.999999999999999778e-01,1.316737762000000034e+00,1.185122952272006647e-01
6.049999999999999822e-01,1.323776859999999944e+00,1.197477172169675447e-01
6.099999999999999867e-01,1.330804238000000028e+00,1.209815986100565982e-01
6.149999999999999911e-01,1.337820391999999803e+00,1.222138025797599170e-01
6.199999999999999956e-01,1.344825568000000304e+00,1.234442494517036387e-01
6.250000000000000000e-01,1.351820566000000001e+00,1.246729543488191427e-01
6.300000000000000044e-01,1.358805763999999972e+00,1.258999762827833213e-01
6.350000000000000089e-01,1.365781802000000100e+00,1.271251751495468263e-01
6.400000000000000133e-01,1.372749047999999972e+00,1.283484981255881008e-01
6.450000000000000178e-01,1.379708369999999906e+00,1.295699628737461140e-01
6.500000000000000222e-01,1.386660221999999942e+00,1.307896791178165818e-01
6.550000000000000266e-01,1.393605231999999861e+00,1.320076234939580873e-01
6.600000000000000311e-01,1.400543728000000154e+00,1.332238676419494894e-01
6.650000000000000355e-01,1.407476346000000156e+00,1.344385532045199450e-01
6.700000000000000400e-01,1.414403473999999772e+00,1.356518604011107410e-01
6.750000000000000444e-01,1.421325631999999839e+00,1.368638349862800752e-01
6.800000000000000488e-01,1.428243193999999994e+00,1.380745304460609946e-01
6.850000000000000533e-01,1.435156775999999912e+00,1.392840087579540198e-01
6.899999999999999467e-01,1.442066896000000042e+00,1.404922933271451901e-01
6.949999999999999512e-01,1.448974174000000170e+00,1.416993026721255766e-01
6.999999999999999556e-01,1.455879041999999846e+00,1.429049416756111301e-01
7.049999999999999600e-01,1.462782107999999859e+00,1.441091451072769591e-01
7.099999999999999645e-01,1.469683836000000188e+00,1.453117777434451419e-01
7.149999999999999689e-01,1.476584866000000051e+00,1.465126192618280143e-01
7.199999999999999734e-01,1.483485538000000048e+00,1.477114600596267646e-01
7.249999999999999778e-01,1.490386362000000187e+00,1.489081258651284989e-01
7.299999999999999822e-01,1.497287652000000024e+00,1.501024172503314102e-01
7.349999999999999867e-01,1.504189881999999923e+00,1.512940750310018956e-01
7.399999999999999911e-01,1.511093281999999816e+00,1.524829658275506927e-01
7.449999999999999956e-01,1.517998206000000128e+00,1.536689304050228300e-01
7.500000000000000000e-01,1.524904965999999806e+00,1.548518826856550568e-01
7.550000000000000044e-01,1.531814001999999730e+00,1.560316089685287733e-01
7.600000000000000089e-01,1.538725675999999876e+00,1.572081797302810335e-01
7.650000000000000133e-01,1.545640364000000044e+00,1.583815681098551253e-01
7.700000000000000178e-01,1.552558614000000059e+00,1.595519333316181843e-01
7.750000000000000222e-01,1.559481056000000088e+00,1.607192207102111359e-01
7.800000000000000266e-01,1.566408330000000015e+00,1.618836660021570062e-01
7.850000000000000311e-01,1.573340907999999816e+00,1.630453648911615039e-01
7.900000000000000355e-01,1.580279353999999969e+00,1.642045123536385598e-01
7.950000000000000400e-01,1.587224089999999865e+00,1.653611196657079896e-01
8.000000000000000444e-01,1.594175497999999802e+00,1.665154029642362810e-01
8.050000000000000488e-01,1.601133756000000075e+00,1.676675396906826543e-01
8.100000000000000533e-01,1.608098996000000058e+00,1.688177199163227171e-01
8.149999999999999467e-01,1.615071220000000141e+00,1.699660270131282402e-01
