r_A,g_NaCl,w_NaCl_kcalmol,g_NaO,g_ClO
3.425000000000000266e+00,2.472740316831855134e-01,7.947972947393434628e-01,2.779784262591523669e-01,1.369301136758046766e+00
3.475000000000000089e+00,2.061640993005486866e-01,9.025256911578928287e-01,3.214723018926448628e-01,1.116376352509092840e+00
3.525000000000000355e+00,2.260909823020869625e-01,8.478600452127641462e-01,3.628008480702905048e-01,9.296482456475823053e-01
3.575000000000000178e+00,1.804952825955987439e-01,9.813071099008102705e-01,4.213463671817266332e-01,7.974049907248039748e-01
3.625000000000000000e+00,2.520279741926660932e-01,7.835146471738416718e-01,4.830484069988931761e-01,7.121931664670453355e-01
3.675000000000000266e+00,2.401433760023974073e-01,8.121340053559894523e-01,5.509926608931285941e-01,6.593357941032486069e-01
3.725000000000000089e+00,2.798295023214967814e-01,7.215167856244641964e-01,6.205275464090747040e-01,6.249979500115446784e-01
3.775000000000000355e+00,3.477948335889123888e-01,5.926914602948037958e-01,7.060709025898302960e-01,6.094740382729151307e-01
3.825000000000000178e+00,3.699839940589461085e-01,5.560480476380368353e-01,7.828593117165661974e-01,6.071216877285456892e-01
3.875000000000000000e+00,4.335099542963577468e-01,4.621658446193452896e-01,8.626153205173834326e-01,6.232081761246390794e-01
3.925000000000000266e+00,5.782066274967621045e-01,2.915203970350046525e-01,9.532783127194819350e-01,6.367899128966139077e-01
3.975000000000000089e+00,6.504833355835223374e-01,2.217349254291579863e-01,1.032921779485745262e+00,6.590108549309002806e-01
4.025000000000000355e+00,8.219300411681531582e-01,8.312924221939016478e-02,1.106664693804770616e+00,6.928952301097324185e-01
4.075000000000000178e+00,9.490565032300453119e-01,-2.077820588909158606e-03,1.179542360820346802e+00,7.219103033380038781e-01
4.125000000000000000e+00,1.120822668343676831e+00,-1.006376150036048522e-01,1.244478673755651021e+00,7.609841754374927492e-01
4.175000000000000711e+00,1.303792816408683386e+00,-1.902299983932105032e-01,1.292857567017598130e+00,7.998286505057282669e-01
4.224999999999999645e+00,1.557168954467422761e+00,-2.954504776632281282e-01,1.339669926570327796e+00,8.307177828243326179e-01
4.275000000000000355e+00,1.815900628362370206e+00,-3.865226110864746212e-01,1.379343433078879633e+00,8.798217331960157539e-01
4.325000000000000178e+00,2.000048330495664661e+00,-4.437506015514203206e-01,1.398058221199793172e+00,9.173322749836879675e-01
4.375000000000000000e+00,2.087048882887810652e+00,-4.689784338346391079e-01,1.415712293055554349e+00,9.632526701976743544e-01
4.425000000000000711e+00,2.366761683359334345e+00,-5.434962032996938364e-01,1.406830616147044521e+00,1.007986992907540014e+00
4.474999999999999645e+00,2.607289658860461934e+00,-6.008419842222002538e-01,1.399364592251270967e+00,1.037200001662470727e+00
4.525000000000000355e+00,2.745198047244854056e+00,-6.313798314770199260e-01,1.379584821932544614e+00,1.078184339414183013e+00
4.575000000000000178e+00,2.869940430197993386e+00,-6.577087068595702801e-01,1.342804280666399563e+00,1.099730367134093001e+00
4.625000000000000000e+00,2.931016736475702711e+00,-6.701853122018388564e-01,1.316328446542792685e+00,1.131716373003323062e+00
4.675000000000000711e+00,3.016008839239774808e+00,-6.871214985008367027e-01,1.273849737643132363e+00,1.159232770707216753e+00
4.724999999999999645e+00,3.004691730046952891e+00,-6.848941084635156162e-01,1.230895924567114053e+00,1.180111531601836239e+00
4.775000000000000355e+00,2.989177827774393670e+00,-6.818270502596429639e-01,1.180065682221049794e+00,1.186281485151921888e+00
4.825000000000001066e+00,2.899096134900955413e+00,-6.636973885854499100e-01,1.131737622492528628e+00,1.209024266705277295e+00
4.875000000000000000e+00,2.937961125797578621e+00,-6.715874124811038737e-01,1.090768791535939419e+00,1.215516483734768061e+00
4.925000000000000711e+00,2.906859781095768369e+00,-6.652819152219882071e-01,1.034658440866564222e+00,1.223580311289312217e+00
4.974999999999999645e+00,2.952079628345575912e+00,-6.744278056038202074e-01,9.923230102230984340e-01,1.227341639793565475e+00
5.025000000000000355e+00,2.856538381432573992e+00,-6.549354403152497506e-01,9.480916756732138406e-01,1.222740056144329346e+00
5.075000000000001066e+00,2.746434542841386328e+00,-6.316466391970233518e-01,9.160406746550349144e-01,1.217091773049925996e+00
5.125000000000000000e+00,2.524407751865752836e+00,-5.817019043730686789e-01,8.836931702748507256e-01,1.202609092455914741e+00
5.175000000000000711e+00,2.574795134302913624e+00,-5.934114737921527549e-01,8.593367486370364627e-01,1.198442055518600169e+00
5.224999999999999645e+00,2.352572770951206760e+00,-5.399335222498896636e-01,8.349789163659689928e-01,1.171808366958897896e+00
5.275000000000000355e+00,2.251548370972557667e+00,-5.139285416392603834e-01,8.315228196734811839e-01,1.139276613773924751e+00
5.325000000000001066e+00,2.091057265602410009e+00,-4.701152680297138176e-01,8.244268701546676459e-01,1.120140952316740490e+00
5.375000000000000000e+00,1.942445046351367610e+00,-4.264359218131416607e-01,8.161843280365806974e-01,1.089530219609466721e+00
5.425000000000000711e+00,1.808243926945989344e+00,-3.840191310669726632e-01,8.233464393025216044e-01,1.050640138212489250e+00
5.474999999999999645e+00,1.742603382413612900e+00,-3.621114233054475440e-01,8.291526743760543328e-01,1.022835875985177445e+00
5.525000000000000355e+00,1.670053234936388131e+00,-3.369161872704130589e-01,8.335382284392240937e-01,9.854723345610348906e-01
5.575000000000001066e+00,1.547637932854553755e+00,-2.918128896564520791e-01,8.429602649640777212e-01,9.563762082933879860e-01
5.625000000000000000e+00,1.435788675101173251e+00,-2.473673048686625686e-01,8.601354185923003604e-01,9.244151236104207747e-01
5.675000000000000711e+00,1.376558421666443710e+00,-2.224072130412367565e-01,8.828654957546442361e-01,8.974959475877811732e-01
5.724999999999999645e+00,1.392340303969802795e+00,-2.291612543987288642e-01,8.924033924477888791e-01,8.760220040694056687e-01
5.775000000000000355e+00,1.329298451366585310e+00,-2.017086558123188933e-01,9.099052062915450323e-01,8.585412784953091458e-01
5.825000000000001066e+00,1.327443478168844671e+00,-2.008812937110752705e-01,9.249095658892561023e-01,8.427882021164068149e-01
5.875000000000000000e+00,1.320164925885777718e+00,-1.976236796345787750e-01,9.419752008091790696e-01,8.363829538026463783e-01
5.925000000000000711e+00,1.343520887696114219e+00,-2.080141013098403269e-01,9.565217168817022886e-01,8.420555252722872197e-01
5.974999999999999645e+00,1.303855548759693450e+00,-1.902585052819230071e-01,9.699221263268764659e-01,8.461446348342293033e-01
6.025000000000000355e+00,1.311876999390782839e+00,-1.938923655524135425e-01,9.812540294427030130e-01,8.482624788255810344e-01
6.075000000000001066e+00,1.333693123064870312e+00,-2.036641850907640605e-01,9.981048644786582047e-01,8.681394093308053561e-01
6.125000000000000000e+00,1.356451412560436109e+00,-2.136891220009247139e-01,1.002658984522698749e+00,8.858552955528338213e-01
6.175000000000000711e+00,1.383691702547417357e+00,-2.254695229371922738e-01,1.009768724472611456e+00,9.047281276007272943e-01
6.224999999999999645e+00,1.340923518808350368e+00,-2.068675680990927634e-01,1.020104731159547251e+00,9.165115251685977960e-01
6.275000000000000355e+00,1.386926580350493987e+00,-2.268530532071162675e-01,1.018518795452052483e+00,9.455103599723854169e-01
6.325000000000001066e+00,1.327975438187207313e+00,-2.011186786915340474e-01,1.027144317184131683e+00,9.601015071300954551e-01
6.375000000000000000e+00,1.319028376064035113e+00,-1.971133807857942954e-01,1.030664650459712339e+00,9.883019225621332282e-01
6.425000000000000711e+00,1.357781090533989765e+00,-2.142696280456570512e-01,1.034787329299227565e+00,1.004226845688342085e+00
6.474999999999999645e+00,1.388101979564707600e+00,-2.273549625138800434e-01,1.031252789938263970e+00,1.014860368940755819e+00
6.525000000000000355e+00,1.342769122571070950e+00,-2.076824844727336583e-01,1.035394609512481745e+00,1.035240231413961487e+00
6.575000000000001066e+00,1.356238019770689363e+00,-2.135959067548570400e-01,1.033960778693942650e+00,1.044565504629265229e+00
6.625000000000000000e+00,1.417024855620153456e+00,-2.395732868207551547e-01,1.030589567930463746e+00,1.060268705527138922e+00
6.675000000000000711e+00,1.369731793586891344e+00,-2.194616522408443238e-01,1.025441965537412070e+00,1.070610055998455934e+00
6.724999999999999645e+00,1.419133968338226914e+00,-2.404544911191514034e-01,1.021323020302300488e+00,1.074514656791897282e+00
6.775000000000000355e+00,1.415680838783576645e+00,-2.390110612809890067e-01,1.016336446201854482e+00,1.079879288973872642e+00
6.825000000000001066e+00,1.354806540416029881e+00,-2.129702217351195637e-01,1.009921872158833667e+00,1.088896429121898768e+00
6.875000000000000000e+00,1.362716274315976639e+00,-2.164192534242932175e-01,1.000222203386523789e+00,1.093392253265773162e+00
6.925000000000000711e+00,1.338346388094672212e+00,-2.057277713907621763e-01,9.992796766225190419e-01,1.097096936445178805e+00
6.974999999999999645e+00,1.362888746870674961e+00,-2.164942366915544592e-01,9.953566112525318310e-01,1.097898269608917454e+00
7.025000000000000355e+00,1.315788306978756372e+00,-1.956562069369915946e-01,9.888464924529664080e-01,1.093587939113030760e+00
7.075000000000001066e+00,1.317333515964942192e+00,-1.963515891958048931e-01,9.796382223663208100e-01,1.091455953768453169e+00
7.125000000000000000e+00,1.320955492752071914e+00,-1.979783767875845646e-01,9.710594667121255075e-01,1.090756735354362794e+00
7.175000000000000711e+00,1.268890419280728876e+00,-1.741530777050442624e-01,9.666775171235935105e-01,1.083419648947290925e+00
7.224999999999999645e+00,1.231261530029561291e+00,-1.563171758420960900e-01,9.654083095436644113e-01,1.082971930270398397e+00
7.275000000000000355e+00,1.206627212947997352e+00,-1.443429150901989477e-01,9.546985621327209737e-01,1.079771835549035330e+00
7.325000000000001066e+00,1.207663790318601826e+00,-1.448516826573029159e-01,9.576881074317468157e-01,1.068442351774545385e+00
