# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-chebyshev/N512/seg1/H2O-512_feature-nnp-chebyshev_seg1-1.stress
# n_molecules: 512
# volume_ang3: 15326.9159
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.671961
lag_fs,acf_normalized,running_eta_mPa_s
122.500,0.05004695,0.24476909
123.000,0.05350562,0.24597725
123.500,0.05698348,0.24726633
124.000,0.06005203,0.24863179
124.500,0.06226479,0.25005887
125.000,0.06321591,0.25152286
125.500,0.06259483,0.25299071
126.000,0.06023074,0.25442372
126.500,0.05612163,0.25578121
127.000,0.05044470,0.25702453
127.500,0.04354653,0.25812113
128.000,0.03591344,0.25904820
128.500,0.02812465,0.25979533
129.000,0.02079270,0.26036606
129.500,0.01449765,0.26077779
130.000,0.00972263,0.26106037
130.500,0.00679912,0.26125313
131.000,0.00586926,0.26140094
131.500,0.00687082,0.26154957
132.000,0.00954717,0.26174112
132.500,0.01348118,0.26200980
133.000,0.01814856,0.26237882
133.500,0.02298315,0.26285871
134.000,0.02744577,0.26344707
134.500,0.03108779,0.26412998
135.000,0.03360230,0.26488473
135.500,0.03485733,0.26568345
136.000,0.03490797,0.26649741
136.500,0.03398662,0.26730121
137.000,0.03247207,0.26807658
137.500,0.03084087,0.26881526
138.000,0.02960569,0.26952050
138.500,0.02924774,0.27020714
139.000,0.03015105,0.27090015
139.500,0.03254735,0.27163166
140.000,0.03647864,0.27243699
140.500,0.04178317,0.27335008
141.000,0.04810692,0.27439883
141.500,0.05493962,0.27560108
142.000,0.06167074,0.27696158
142.500,0.06765832,0.27847048
143.000,0.07230203,0.28010340
143.500,0.07511134,0.28182329
144.000,0.07576092,0.28358352
144.500,0.07412730,0.28533228
145.000,0.07030330,0.28701736
145.500,0.06458910,0.28859116
146.000,0.05746153,0.29001513
146.500,0.04952457,0.29126335
147.000,0.04144614,0.29232471
147.500,0.03388779,0.29320364
148.000,0.02743457,0.29391909
148.500,0.02253341,0.29450207
149.000,0.01944723,0.29499186
149.500,0.01823061,0.29543145
150.000,0.01873009,0.29586267
150.500,0.02060898,0.29632165
151.000,0.02339360,0.29683503
151.500,0.02653493,0.29741755
152.000,0.02947801,0.29807105
152.500,0.03173053,0.29878518
153.000,0.03292244,0.29953949
153.500,0.03284979,0.30030686
154.000,0.03149796,0.30105761
154.500,0.02904213,0.30176393
155.000,0.02582535,0.30240408
155.500,0.02231679,0.30296575
156.000,0.01905495,0.30344844
156.500,0.01658165,0.30386422
157.000,0.01537425,0.30423705
157.500,0.01578392,0.30460057
158.000,0.01798775,0.30499459
158.500,0.02196115,0.30546068
159.000,0.02747455,0.30603745
159.500,0.03411531,0.30675602
160.000,0.04133207,0.30763627
160.500,0.04849603,0.30868430
161.000,0.05497117,0.30989146
161.500,0.06018488,0.31123499
162.000,0.06369037,0.31268025
162.500,0.06521386,0.31418419
163.000,0.06468138,0.31569969
163.500,0.06222274,0.31718029
164.000,0.05815270,0.31858472
164.500,0.05293208,0.31988075
165.000,0.04711324,0.32104798
165.500,0.04127620,0.32207923
166.000,0.03596233,0.32298038
166.500,0.03161331,0.32376879
167.000,0.02852249,0.32447040
167.500,0.02680483,0.32511590
168.000,0.02638945,0.32573653
168.500,0.02703569,0.32635984
169.000,0.02837071,0.32700627
169.500,0.02994307,0.32768662
170.000,0.03128507,0.32840098
170.500,0.03197534,0.32913904
171.000,0.03169386,0.32988187
171.500,0.03026298,0.33060473
172.000,0.02767008,0.33128064
172.500,0.02406997,0.33188429
173.000,0.01976731,0.33239574
173.500,0.01518132,0.33280349
174.000,0.01079681,0.33310658
174.500,0.00710691,0.33331547
175.000,0.00455393,0.33345151
175.500,0.00347505,0.33354519
176.000,0.00405970,0.33363310
176.500,0.00632409,0.33375424
177.000,0.01010669,0.33394594
177.500,0.01508563,0.33423986
178.000,0.02081587,0.33465873
178.500,0.02678118,0.33521405
179.000,0.03245386,0.33590515
179.500,0.03735422,0.33671960
180.000,0.04110233,0.33763496
180.500,0.04345596,0.33862151
181.000,0.04433117,0.33964573
181.500,0.04380414,0.34067401
182.000,0.04209516,0.34167620
182.500,0.03953720,0.34262861
183.000,0.03653289,0.34351613
183.500,0.03350421,0.34433326
184.000,0.03084065,0.34508397
184.500,0.02885146,0.34578040
185.000,0.02772804,0.34644052
185.500,0.02752148,0.34708512
186.000,0.02813844,0.34773451
186.500,0.02935617,0.34840530
187.000,0.03085455,0.34910779
187.500,0.03226057,0.34984416
188.000,0.03319906,0.35060788
188.500,0.03334245,0.35138422
189.000,0.03245339,0.35215187
189.500,0.03041518,0.35288536
190.000,0.02724710,0.35355811
190.500,0.02310403,0.35414556
191.000,0.01826106,0.35462817
191.500,0.01308555,0.35499389
192.000,0.00799910,0.35523989
192.500,0.00343330,0.35537327
193.000,-0.00021682,0.35541080
193.500,-0.00263675,0.35537750
194.000,-0.00362849,0.35530441
194.500,-0.00313364,0.35522551
195.000,-0.00124005,0.35517449
195.500,0.00182927,0.35518136
196.000,0.00574338,0.35526971
196.500,0.01010305,0.35545459
197.000,0.01448711,0.35574149
197.500,0.01849935,0.35612634
198.000,0.02181032,0.35659664
198.500,0.02418925,0.35713332
199.000,0.02552337,0.35771332
199.500,0.02582351,0.35831239
200.000,0.02521655,0.35890788
200.500,0.02392642,0.35948123
201.000,0.02224572,0.36001992
201.500,0.02050058,0.36051865
202.000,0.01901199,0.36097964
202.500,0.01805699,0.36141213
203.000,0.01783434,0.36183088
203.500,0.01843902,0.36225408
204.000,0.01984942,0.36270079
204.500,0.02192939,0.36318823
205.000,0.02444473,0.36372928
205.500,0.02709182,0.36433056
206.000,0.02953392,0.36499122
206.500,0.03144045,0.36570261
207.000,0.03252414,0.36644889
207.500,0.03257220,0.36720837
208.000,0.03146894,0.36795555
208.500,0.02920816,0.36866347
209.000,0.02589515,0.36930636
209.500,0.02173839,0.36986211
210.000,0.01703177,0.37031444
210.500,0.01212834,0.37065466
211.000,0.00740732,0.37088258
211.500,0.00323707,0.37100677
212.000,-0.00006223,0.37104381
212.500,-0.00225181,0.37101681
213.000,-0.00319877,0.37095322
213.500,-0.00288845,0.37088220
214.000,-0.00142317,0.37083190
214.500,0.00099207,0.37082687
215.000,0.00407432,0.37088598
215.500,0.00749432,0.37102095
216.000,0.01091125,0.37123569
216.500,0.01400686,0.37152641
217.000,0.01651606,0.37188252
217.500,0.01825154,0.37228816
218.000,0.01912040,0.37272418
218.500,0.01913150,0.37317047
219.000,0.01839251,0.37360826
219.500,0.01709687,0.37402232
220.000,0.01550134,0.37440264
220.500,0.01389626,0.37474563
221.000,0.01257152,0.37505443
221.500,0.01178229,0.37533857
222.000,0.01171881,0.37561276
222.500,0.01248411,0.37589513
223.000,0.01408223,0.37620509
223.500,0.01641763,0.37656093
224.000,0.01930504,0.37697771
224.500,0.02248799,0.37746531
225.000,0.02566371,0.37802710
225.500,0.02851247,0.37865918
226.000,0.03072903,0.37935035
226.500,0.03205395,0.38008285
227.000,0.03230173,0.38083369
227.500,0.03138291,0.38157670
228.000,0.02931690,0.38228489
228.500,0.02623343,0.38293300
229.000,0.02236165,0.38349996
229.500,0.01800769,0.38397095
230.000,0.01352320,0.38433883
230.500,0.00926896,0.38460475
231.000,0.00557822,0.38477797
231.500,0.00272441,0.38487484
232.000,0.00089681,0.38491709
232.500,0.00018592,0.38492972
233.000,0.00057909,0.38493864
233.500,0.00196537,0.38496833
234.000,0.00414858,0.38503966
234.500,0.00686741,0.38516819
235.000,0.00982131,0.38536289
235.500,0.01270056,0.38562566
236.000,0.01521827,0.38595139
236.500,0.01714074,0.38632892
237.000,0.01831254,0.38674256
237.500,0.01867253,0.38717407
238.000,0.01825836,0.38760494
238.500,0.01719878,0.38801862
239.000,0.01569523,0.38840240
239.500,0.01399591,0.38874881
240.000,0.01236630,0.38905638
240.500,0.01106031,0.38932970
241.000,0.01029489,0.38957885
241.500,0.01023000,0.38981832
242.000,0.01095436,0.39006548
242.500,0.01247687,0.39033885
243.000,0.01472350,0.39065620
243.500,0.01754042,0.39103262
244.000,0.02070402,0.39147883
244.500,0.02393878,0.39199968
245.000,0.02694265,0.39259331
245.500,0.02941791,0.39325088
246.000,0.03110386,0.39395699
246.500,0.03180677,0.39469097
247.000,0.03142257,0.39542867
247.500,0.02994904,0.39614470
248.000,0.02748602,0.39681480
248.500,0.02422432,0.39741811
249.000,0.02042559,0.39793904
249.500,0.01639640,0.39836864
250.000,0.01245954,0.39870531
250.500,0.00892546,0.39895481
251.000,0.00606552,0.39912971
251.500,0.00408858,0.39924818
252.000,0.00312234,0.39933231
252.500,0.00320085,0.39940608
253.000,0.00426013,0.39949313
253.500,0.00614337,0.39961451
254.000,0.00861646,0.39978671
254.500,0.01139291,0.40002016
255.000,0.01416541,0.40031835
255.500,0.01663983,0.40067776
256.000,0.01856701,0.40108852
256.500,0.01976815,0.40153578
257.000,0.02015106,0.40200152
257.500,0.01971618,0.40246666
258.000,0.01855315,0.40291315
258.500,0.01682929,0.40332596
259.000,0.01477200,0.40369465
259.500,0.01264679,0.40401455
260.000,0.01073224,0.40428731
260.500,0.00929347,0.40452095
