# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/feature-nnp-native-spline/N64/seg1/H2O-64_feature-nnp-native-spline_seg1-1.stress
# n_molecules: 64
# volume_ang3: 1915.8645
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.761813
lag_fs,acf_normalized,running_eta_mPa_s
162.000,0.05645944,0.31382870
162.500,0.05942073,0.31515996
163.000,0.06094262,0.31654273
163.500,0.06094489,0.31794301
164.000,0.05948986,0.31932660
164.500,0.05677051,0.32066223
165.000,0.05308235,0.32192425
165.500,0.04878364,0.32309452
166.000,0.04425051,0.32416332
166.500,0.03983412,0.32512931
167.000,0.03582536,0.32599851
167.500,0.03243089,0.32678266
168.000,0.02976148,0.32749714
168.500,0.02783183,0.32815879
169.000,0.02657012,0.32878377
169.500,0.02583499,0.32938582
170.000,0.02543808,0.32997486
170.500,0.02517035,0.33055626
171.000,0.02483036,0.33113069
171.500,0.02425176,0.33169456
172.000,0.02332717,0.33224116
172.500,0.02202464,0.33276217
173.000,0.02039360,0.33324948
173.500,0.01855850,0.33369698
174.000,0.01670071,0.33410204
174.500,0.01503161,0.33446659
175.000,0.01376190,0.33479738
175.500,0.01307268,0.33510567
176.000,0.01309268,0.33540626
176.500,0.01388463,0.33571618
177.000,0.01544084,0.33605308
177.500,0.01768700,0.33643367
178.000,0.02049202,0.33687228
178.500,0.02368196,0.33737976
179.000,0.02705653,0.33796266
179.500,0.03040707,0.33862282
180.000,0.03353517,0.33935741
180.500,0.03627045,0.34015935
181.000,0.03848599,0.34101818
181.500,0.04010902,0.34192110
182.000,0.04112482,0.34285434
182.500,0.04157256,0.34380439
183.000,0.04153332,0.34475913
183.500,0.04111213,0.34570859
184.000,0.04041771,0.34664523
184.500,0.03954393,0.34756385
185.000,0.03855649,0.34846109
185.500,0.03748707,0.34933470
186.000,0.03633502,0.35018279
186.500,0.03507505,0.35100317
187.000,0.03366856,0.35179291
187.500,0.03207593,0.35254821
188.000,0.03026784,0.35326443
188.500,0.02823414,0.35393652
189.000,0.02598970,0.35455946
189.500,0.02357706,0.35512889
190.000,0.02106551,0.35564176
190.500,0.01854695,0.35609684
191.000,0.01612846,0.35649520
191.500,0.01392220,0.35684043
192.000,0.01203344,0.35713862
192.500,0.01054837,0.35739804
193.000,0.00952341,0.35762863
193.500,0.00897801,0.35784118
194.000,0.00889257,0.35804649
194.500,0.00921225,0.35825448
195.000,0.00985614,0.35847354
195.500,0.01073027,0.35871005
196.000,0.01174213,0.35896821
196.500,0.01281396,0.35925032
197.000,0.01389291,0.35955714
197.500,0.01495629,0.35988857
198.000,0.01601162,0.36024433
198.500,0.01709147,0.36062463
199.000,0.01824407,0.36103058
199.500,0.01952106,0.36146443
200.000,0.02096439,0.36192954
200.500,0.02259424,0.36242996
201.000,0.02440010,0.36296984
201.500,0.02633632,0.36355272
202.000,0.02832277,0.36418066
202.500,0.03025050,0.36485356
203.000,0.03199156,0.36556862
203.500,0.03341176,0.36631999
204.000,0.03438495,0.36709886
204.500,0.03480744,0.36789376
205.000,0.03461095,0.36869126
205.500,0.03377284,0.36947687
206.000,0.03232219,0.37023619
206.500,0.03034039,0.37095608
207.000,0.02795555,0.37162580
207.500,0.02533054,0.37223796
208.000,0.02264565,0.37278913
208.500,0.02007809,0.37327995
209.000,0.01778108,0.37371489
209.500,0.01586624,0.37410144
210.000,0.01439204,0.37444905
210.500,0.01336024,0.37476788
211.000,0.01272035,0.37506750
211.500,0.01238101,0.37535587
212.000,0.01222576,0.37563856
212.500,0.01213073,0.37591838
213.000,0.01198164,0.37619539
213.500,0.01168876,0.37646732
214.000,0.01119853,0.37673025
214.500,0.01050150,0.37697955
215.000,0.00963600,0.37721090
215.500,0.00868682,0.37742139
216.000,0.00777809,0.37761055
216.500,0.00705992,0.37778101
217.000,0.00668940,0.37793897
217.500,0.00680787,0.37809403
218.000,0.00751797,0.37825861
218.500,0.00886466,0.37844682
219.000,0.01082380,0.37867300
219.500,0.01330098,0.37895015
220.000,0.01614077,0.37928839
220.500,0.01914452,0.37969376
221.000,0.02209343,0.38016751
221.500,0.02477274,0.38070592
222.000,0.02699360,0.38130063
222.500,0.02861022,0.38193942
223.000,0.02953143,0.38260737
223.500,0.02972683,0.38328815
224.000,0.02922813,0.38396544
224.500,0.02812593,0.38462434
225.000,0.02656156,0.38525260
225.500,0.02471344,0.38584167
226.000,0.02277798,0.38638726
226.500,0.02094614,0.38688958
227.000,0.01937890,0.38735284
227.500,0.01818566,0.38778440
228.000,0.01741001,0.38819333
228.500,0.01702600,0.38858894
229.000,0.01694549,0.38897921
229.500,0.01703511,0.38936959
230.000,0.01713887,0.38976219
230.500,0.01710204,0.39015556
231.000,0.01679238,0.39054495
231.500,0.01611633,0.39092302
232.000,0.01502923,0.39128083
232.500,0.01354042,0.39160904
233.000,0.01171396,0.39189917
233.500,0.00966533,0.39214478
234.000,0.00755385,0.39234260
234.500,0.00556966,0.39249337
235.000,0.00391483,0.39260233
235.500,0.00277952,0.39267924
236.000,0.00231607,0.39273778
236.500,0.00261526,0.39279443
237.000,0.00368984,0.39286686
237.500,0.00546907,0.39297208
238.000,0.00780601,0.39312459
238.500,0.01049614,0.39333485
239.000,0.01330375,0.39360827
239.500,0.01599121,0.39394482
240.000,0.01834632,0.39433930
240.500,0.02020429,0.39478218
241.000,0.02146263,0.39526086
241.500,0.02208852,0.39576119
242.000,0.02211939,0.39626906
242.500,0.02165688,0.39677198
243.000,0.02085459,0.39726036
243.500,0.01989968,0.39772856
244.000,0.01898900,0.39817532
244.500,0.01830197,0.39860373
245.000,0.01797363,0.39902048
245.500,0.01807261,0.39943459
246.000,0.01858850,0.39985576
246.500,0.01943198,0.40029255
247.000,0.02044806,0.40075070
247.500,0.02144057,0.40123193
248.000,0.02220308,0.40173332
248.500,0.02255044,0.40224747
249.000,0.02234572,0.40276325
249.500,0.02151837,0.40326717
250.000,0.02007242,0.40374498
250.500,0.01808478,0.40418334
251.000,0.01569583,0.40457142
251.500,0.01309388,0.40490216
252.000,0.01049551,0.40517316
252.500,0.00812291,0.40538706
253.000,0.00617948,0.40555137
253.500,0.00482591,0.40567780
254.000,0.00415948,0.40578103
254.500,0.00420020,0.40587707
255.000,0.00488698,0.40598146
255.500,0.00608560,0.40610752
256.000,0.00760812,0.40626484
256.500,0.00924077,0.40645840
257.000,0.01077555,0.40668835
257.500,0.01203992,0.40695047
258.000,0.01291965,0.40723721
258.500,0.01337125,0.40753925
259.000,0.01342334,0.40784707
259.500,0.01316798,0.40815256
260.000,0.01274470,0.40845025
260.500,0.01232011,0.40873820
261.000,0.01206577,0.40901835
261.500,0.01213591,0.40929639
262.000,0.01264649,0.40958110
262.500,0.01365703,0.40988328
263.000,0.01515727,0.41021431
263.500,0.01706136,0.41058444
264.000,0.01921188,0.41100116
264.500,0.02139504,0.41146767
265.000,0.02336614,0.41198190
265.500,0.02488232,0.41253619
266.000,0.02573742,0.41311772
266.500,0.02579321,0.41370972
267.000,0.02500143,0.41429326
267.500,0.02341301,0.41484946
268.000,0.02117303,0.41536168
268.500,0.01850262,0.41581749
269.000,0.01567109,0.41621008
269.500,0.01296275,0.41653904
270.000,0.01064284,0.41681022
270.500,0.00892665,0.41703504
271.000,0.00795489,0.41722898
271.500,0.00777730,0.41740972
272.000,0.00834626,0.41759495
272.500,0.00952109,0.41780022
273.000,0.01108330,0.41803693
273.500,0.01276214,0.41831087
274.000,0.01426822,0.41862140
274.500,0.01533159,0.41896145
275.000,0.01573948,0.41931841
275.500,0.01536812,0.41967578
276.000,0.01420373,0.42001551
276.500,0.01234883,0.42032055
277.000,0.01001233,0.42057745
277.500,0.00748433,0.42077845
278.000,0.00509949,0.42092302
278.500,0.00319397,0.42101830
279.000,0.00206242,0.42107868
279.500,0.00192055,0.42112444
280.000,0.00287765,0.42117956
280.500,0.00492181,0.42126917
281.000,0.00791873,0.42141668
281.500,0.01162352,0.42164119
282.000,0.01570414,0.42195514
282.500,0.01977432,0.42236272
283.000,0.02343321,0.42285911
283.500,0.02630826,0.42343055
284.000,0.02809748,0.42405558
284.500,0.02860622,0.42470701
285.000,0.02777395,0.42535472
285.500,0.02568657,0.42596889
286.000,0.02257150,0.42652329
286.500,0.01877473,0.42699829
287.000,0.01472200,0.42738311
287.500,0.01086872,0.42767710
288.000,0.00764535,0.42788980
288.500,0.00540557,0.42803973
289.000,0.00438397,0.42815220
289.500,0.00466844,0.42825619
290.000,0.00619002,0.42838094
290.500,0.00873077,0.42855235
291.000,0.01194835,0.42878992
291.500,0.01541427,0.42910427
292.000,0.01866199,0.42949575
292.500,0.02124005,0.42995415
293.000,0.02276512,0.43045970
293.500,0.02296933,0.43098511
294.000,0.02173641,0.43149870
294.500,0.01912158,0.43196809
295.000,0.01535168,0.43236413
295.500,0.01080399,0.43266461
296.000,0.00596548,0.43285726
296.500,0.00137675,0.43294161
297.000,-0.00243199,0.43292949
297.500,-0.00500487,0.43284405
298.000,-0.00601557,0.43271745
298.500,-0.00530704,0.43258737
299.000,-0.00291112,0.43249296
299.500,0.00095388,0.43247047
300.000,0.00590676,0.43254929
300.500,0.01144506,0.43274863
301.000,0.01700011,0.43307542
301.500,0.02199942,0.43352346
302.000,0.02592988,0.43407408
302.500,0.02839506,0.43469818
303.000,0.02916011,0.43535939
303.500,0.02817911,0.43601812
304.000,0.02560121,0.43663597
304.500,0.02175433,0.43718000
305.000,0.01710784,0.43762646
305.500,0.01221841,0.43796337
306.000,0.00766536,0.43819180
306.500,0.00398324,0.43832562
307.000,0.00159977,0.43838976
307.500,0.00078610,0.43841717
308.000,0.00162544,0.43844488
308.500,0.00400327,0.43850954
309.000,0.00762057,0.43864308
309.500,0.01202850,0.43886881
310.000,0.01668092,0.43919863
310.500,0.02099865,0.43963151
311.000,0.02443799,0.44015350
311.500,0.02655523,0.44073932
312.000,0.02705922,0.44135526
312.500,0.02584559,0.44196305
313.000,0.02300858,0.44252430
313.500,0.01882943,0.44300494
314.000,0.01374309,0.44337915
314.500,0.00828789,0.44363225
315.000,0.00304427,0.44376243
315.500,-0.00143031,0.44378097
316.000,-0.00466314,0.44371097
316.500,-0.00631823,0.44358481
317.000,-0.00623311,0.44344062
317.500,-0.00443646,0.44331805
318.000,-0.00114438,0.44325393
318.500,0.00326464,0.44327829
319.000,0.00829388,0.44341108
319.500,0.01338664,0.44366015
320.000,0.01799179,0.44402063
320.500,0.02162815,0.44447580
321.000,0.02393943,0.44499929
321.500,0.02473264,0.44555845
322.000,0.02399551,0.44611825
322.500,0.02189159,0.44664542
323.000,0.01873513,0.44711215
323.500,0.01494990,0.44749913
324.000,0.01101776,0.44779746
324.500,0.00742330,0.44800931
325.000,0.00460017,0.44814744
325.500,0.00288426,0.44823343
326.000,0.00247811,0.44829503
326.500,0.00342962,0.44836290
327.000,0.00562764,0.44846695
327.500,0.00881511,0.44863287
328.000,0.01261901,0.44887912
328.500,0.01659400,0.44921472
329.000,0.02027489,0.44963828
329.500,0.02323131,0.45013810
330.000,0.02511771,0.45069354
330.500,0.02571217,0.45127749
331.000,0.02493946,0.45185939
331.500,0.02287593,0.45240871
332.000,0.01973671,0.45289826
332.500,0.01584785,0.45330706
333.000,0.01160757,0.45362248
333.500,0.00744171,0.45384132
334.000,0.00375823,0.45396999
334.500,0.00090529,0.45402356
335.000,-0.00086342,0.45402405
335.500,-0.00141326,0.45399789
336.000,-0.00074079,0.45397314
336.500,0.00102790,0.45397644
337.000,0.00365273,0.45403022
337.500,0.00680809,0.45415039
338.000,0.01012099,0.45434488
338.500,0.01321455,0.45461296
339.000,0.01575137,0.45494573
339.500,0.01747119,0.45532740
340.000,0.01821832,0.45573741
340.500,0.01795578,0.45615299
341.000,0.01676510,0.45655188
341.500,0.01483263,0.45691488
342.000,0.01242489,0.45722802
342.500,0.00985643,0.45748400
343.000,0.00745408,0.45768286
343.500,0.00552124,0.45783193
344.000,0.00430554,0.45794482
344.500,0.00397267,0.45803992
345.000,0.00458849,0.45813828
345.500,0.00611133,0.45826120
346.000,0.00839568,0.45842786
346.500,0.01120750,0.45865307
347.000,0.01425010,0.45894553
347.500,0.01719785,0.45930681
348.000,0.01973377,0.45973110
348.500,0.02158600,0.46020579
349.000,0.02255868,0.46071294
349.500,0.02255319,0.46123119
350.000,0.02157744,0.46173818
350.500,0.01974259,0.46221288
351.000,0.01724799,0.46263783
351.500,0.01435701,0.46300092
352.000,0.01136681,0.46329644
352.500,0.00857571,0.46352555
353.000,0.00625167,0.46369589
353.500,0.00460461,0.46382061
354.000,0.00376517,0.46391677
354.500,0.00377163,0.46400335
355.000,0.00456652,0.46409914
355.500,0.00600398,0.46422058
356.000,0.00786760,0.46437994
356.500,0.00989752,0.46458403
357.000,0.01182335,0.46483357
357.500,0.01339868,0.46512332
358.000,0.01443190,0.46544305
358.500,0.01480909,0.46577898
359.000,0.01450574,0.46611576
359.500,0.01358630,0.46643849
360.000,0.01219235,0.46673464
360.500,0.01052180,0.46699559
361.000,0.00880257,0.46721759
361.500,0.00726425,0.46740217
362.000,0.00611125,0.46755583
362.500,0.00550004,0.46768922
363.000,0.00552246,0.46781585
363.500,0.00619638,0.46795048
364.000,0.00746425,0.46810742
364.500,0.00919993,0.46829886
365.000,0.01122347,0.46853349
365.500,0.01332268,0.46881549
366.000,0.01527927,0.46914407
366.500,0.01689613,0.46951372
367.000,0.01802176,0.46991486
367.500,0.01856833,0.47033522
368.000,0.01852050,0.47076131
368.500,0.01793415,0.47118011
369.000,0.01692539,0.47158058
369.500,0.01565211,0.47195484
370.000,0.01429073,0.47229884
370.500,0.01301194,0.47261250
371.000,0.01195861,0.47289937
371.500,0.01122881,0.47316575
372.000,0.01086588,0.47341958
372.500,0.01085637,0.47366913
373.000,0.01113551,0.47392178
373.500,0.01159917,0.47418296
374.000,0.01212031,0.47445546
374.500,0.01256782,0.47473908
375.000,0.01282546,0.47503081
375.500,0.01280844,0.47532530
376.000,0.01247562,0.47561577
376.500,0.01183569,0.47589506
377.000,0.01094655,0.47615679
377.500,0.00990781,0.47639637
378.000,0.00884748,0.47661184
378.500,0.00790425,0.47680429
379.000,0.00720779,0.47697790
379.500,0.00685962,0.47713951
380.000,0.00691743,0.47729779
380.500,0.00738563,0.47746210
381.000,0.00821373,0.47764131
381.500,0.00930333,0.47784256
382.000,0.01052243,0.47807032
382.500,0.01172482,0.47832590
383.000,0.01277116,0.47860732
383.500,0.01354836,0.47890969
384.000,0.01398434,0.47922599
384.500,0.01405627,0.47954813
385.000,0.01379197,0.47986806
385.500,0.01326492,0.48017889
386.000,0.01258416,0.48047586
386.500,0.01188059,0.48075691
387.000,0.01129105,0.48102312
387.500,0.01094133,0.48127853
388.000,0.01092944,0.48152979
388.500,0.01131049,0.48178528
389.000,0.01208547,0.48205406
389.500,0.01319596,0.48234450
390.000,0.01452700,0.48266299
390.500,0.01591899,0.48301277
391.000,0.01718773,0.48339311
391.500,0.01815016,0.48379908
392.000,0.01865131,0.48422186
392.500,0.01858810,0.48464968
393.000,0.01792554,0.48506916
393.500,0.01670284,0.48546698
394.000,0.01502892,0.48583152
394.500,0.01306865,0.48615432
395.000,0.01102272,0.48643109
395.500,0.00910444,0.48666231
396.000,0.00751620,0.48685326
396.500,0.00642785,0.48701345
397.000,0.00595832,0.48715574
397.500,0.00616156,0.48729498
398.000,0.00701809,0.48744639
398.500,0.00843358,0.48762391
399.000,0.01024579,0.48783850
399.500,0.01224047,0.48809683
400.000,0.01417549,0.48840030
400.500,0.01581054,0.48874479
401.000,0.01693851,0.48912102
401.500,0.01741347,0.48951567
402.000,0.01717081,0.48991298
402.500,0.01623605,0.49029677
403.000,0.01472116,0.49065241
403.500,0.01280949,0.49096869
404.000,0.01073240,0.49123915
404.500,0.00874150,0.49146287
405.000,0.00708034,0.49164464
405.500,0.00595855,0.49179443
406.000,0.00553037,0.49192642
406.500,0.00587851,0.49205749
407.000,0.00700436,0.49220549
407.500,0.00882506,0.49238734
408.000,0.01117866,0.49261715
408.500,0.01383770,0.49290455
409.000,0.01653086,0.49325343
409.500,0.01897132,0.49366129
410.000,0.02088872,0.49411921
410.500,0.02206091,0.49461263
411.000,0.02234126,0.49512274
411.500,0.02167744,0.49562844
412.000,0.02011914,0.49610861
