# Green-Kubo viscosity from /rds/user/crm98/hpc-work/cp2k-benchmarks/results/figS4/production/master/N64/seg2/H2O-64_master_seg2-1.stress
# n_molecules: 64
# volume_ang3: 1915.8645
# temperature_K: 300.0
# timestep_fs: 0.5
# discard_ps: 10.0
# int_limit_ps: 3.0
# n_frames_used: 180001
# eta_mPa_s: 0.512287
lag_fs,acf_normalized,running_eta_mPa_s
190.500,0.01864829,0.32061270
191.000,0.01425345,0.32099227
191.500,0.00966074,0.32126816
192.000,0.00523890,0.32144005
192.500,0.00134569,0.32151602
193.000,-0.00171035,0.32151181
193.500,-0.00370133,0.32144938
194.000,-0.00450108,0.32135475
194.500,-0.00409417,0.32125559
195.000,-0.00257284,0.32117868
195.500,-0.00012317,0.32114757
196.000,0.00299731,0.32118073
196.500,0.00648817,0.32129016
197.000,0.01003818,0.32148082
197.500,0.01335784,0.32175073
198.000,0.01620911,0.32209183
198.500,0.01842856,0.32249143
199.000,0.01994119,0.32293409
199.500,0.02076280,0.32340367
200.000,0.02099088,0.32388537
200.500,0.02078530,0.32436732
201.000,0.02034208,0.32484179
201.500,0.01986411,0.32530564
202.000,0.01953352,0.32576015
202.500,0.01948929,0.32621034
203.000,0.01981273,0.32666375
203.500,0.02052110,0.32712907
204.000,0.02156868,0.32761464
204.500,0.02285355,0.32812712
205.000,0.02422857,0.32867029
205.500,0.02551597,0.32924417
206.000,0.02652515,0.32984455
206.500,0.02707345,0.33046290
207.000,0.02700837,0.33108682
207.500,0.02622866,0.33170099
208.000,0.02470065,0.33228854
208.500,0.02246654,0.33283269
209.000,0.01964232,0.33331848
209.500,0.01640541,0.33373435
210.000,0.01297402,0.33407329
210.500,0.00958213,0.33433351
211.000,0.00645444,0.33451852
211.500,0.00378510,0.33463665
212.000,0.00172243,0.33470019
212.500,0.00036009,0.33472421
213.000,-0.00026640,0.33472529
213.500,-0.00017908,0.33472015
214.000,0.00054596,0.33472439
214.500,0.00178524,0.33475128
215.000,0.00337846,0.33481085
215.500,0.00514373,0.33490917
216.000,0.00689731,0.33504808
216.500,0.00847580,0.33522543
217.000,0.00975732,0.33543578
217.500,0.01067732,0.33567153
218.000,0.01123543,0.33592433
218.500,0.01149179,0.33618652
219.000,0.01155355,0.33645239
219.500,0.01155484,0.33671898
220.000,0.01163448,0.33698651
220.500,0.01191569,0.33725819
221.000,0.01249062,0.33753976
221.500,0.01341091,0.33783858
222.000,0.01468355,0.33816269
222.500,0.01627081,0.33851980
223.000,0.01809270,0.33891624
223.500,0.02003184,0.33935606
224.000,0.02194102,0.33984029
224.500,0.02365471,0.34036631
225.000,0.02500485,0.34092767
225.500,0.02584007,0.34151425
226.000,0.02604584,0.34211284
226.500,0.02556192,0.34270821
227.000,0.02439316,0.34328453
227.500,0.02261123,0.34382680
228.000,0.02034652,0.34432238
228.500,0.01777201,0.34476214
229.000,0.01508241,0.34514117
229.500,0.01247231,0.34545906
230.000,0.01011682,0.34571966
230.500,0.00815652,0.34593047
231.000,0.00668754,0.34610172
231.500,0.00575639,0.34624528
232.000,0.00535882,0.34637351
232.500,0.00544223,0.34649812
233.000,0.00591175,0.34662911
233.500,0.00664021,0.34677391
234.000,0.00748232,0.34693684
234.500,0.00829211,0.34711882
235.000,0.00894183,0.34731764
235.500,0.00933917,0.34752855
236.000,0.00943979,0.34774519
236.500,0.00925259,0.34796084
237.000,0.00883693,0.34816953
237.500,0.00829252,0.34836714
238.000,0.00774422,0.34855215
238.500,0.00732448,0.34872599
239.000,0.00715608,0.34889305
239.500,0.00733743,0.34906026
240.000,0.00793140,0.34923641
240.500,0.00895849,0.34943126
241.000,0.01039416,0.34965452
241.500,0.01217029,0.34991484
242.000,0.01418041,0.35021884
242.500,0.01628842,0.35057034
243.000,0.01834037,0.35096984
243.500,0.02017877,0.35141422
244.000,0.02165787,0.35189687
244.500,0.02265841,0.35240813
245.000,0.02309961,0.35293603
245.500,0.02294691,0.35346725
246.000,0.02221456,0.35398826
246.500,0.02096319,0.35448638
247.000,0.01929303,0.35495080
247.500,0.01733396,0.35537335
248.000,0.01523342,0.35574907
248.500,0.01314337,0.35607644
249.000,0.01120707,0.35635736
249.500,0.00954670,0.35659679
250.000,0.00825269,0.35680213
250.500,0.00737572,0.35698243
251.000,0.00692242,0.35714738
251.500,0.00685528,0.35730633
252.000,0.00709736,0.35746730
252.500,0.00754136,0.35763618
253.000,0.00806242,0.35781619
253.500,0.00853312,0.35800765
254.000,0.00883880,0.35820806
254.500,0.00889124,0.35841261
255.000,0.00863910,0.35861485
255.500,0.00807404,0.35880766
256.000,0.00723213,0.35898424
256.500,0.00619062,0.35913909
257.000,0.00506060,0.35926889
257.500,0.00397622,0.35937315
258.000,0.00308142,0.35945457
258.500,0.00251517,0.35951913
259.000,0.00239650,0.35957580
259.500,0.00281031,0.35963587
260.000,0.00379546,0.35971208
260.500,0.00533648,0.35981743
261.000,0.00736029,0.35996390
261.500,0.00973903,0.36016117
262.000,0.01229936,0.36041542
262.500,0.01483807,0.36072849
263.000,0.01714214,0.36109744
263.500,0.01901126,0.36151452
264.000,0.02027965,0.36196781
264.500,0.02083435,0.36244212
265.000,0.02062776,0.36292046
265.500,0.01968300,0.36338550
266.000,0.01809174,0.36382130
266.500,0.01600520,0.36421466
267.000,0.01361940,0.36455643
267.500,0.01115632,0.36484225
268.000,0.00884250,0.36507297
268.500,0.00688669,0.36525443
269.000,0.00545824,0.36539685
269.500,0.00466806,0.36551367
270.000,0.00455448,0.36562007
270.500,0.00507608,0.36573118
271.000,0.00611356,0.36586027
271.500,0.00748147,0.36601711
272.000,0.00894930,0.36620666
272.500,0.01026974,0.36642838
273.000,0.01121030,0.36667619
273.500,0.01158399,0.36693916
274.000,0.01127443,0.36720287
274.500,0.01025202,0.36745121
275.000,0.00857904,0.36766846
275.500,0.00640346,0.36784130
276.000,0.00394272,0.36796066
276.500,0.00145988,0.36802299
277.000,-0.00076491,0.36803101
277.500,-0.00246454,0.36799375
278.000,-0.00341403,0.36792593
278.500,-0.00345605,0.36784667
279.000,-0.00252082,0.36777772
279.500,-0.00063828,0.36774128
280.000,0.00205954,0.36775767
280.500,0.00534747,0.36784312
